username,views,length,summary,thumbnail,product,link,tag1,tag2,tag3
Az4Angela,3.4k,,"The reviewer demonstrates using the O.R.G. Skincare Mineral Peel Face Mask, which is a spray-on exfoliant that claims to extract dermal debris and dead skin. The reviewer notes that the product has a pleasant scent and made their makeup application smoother, but they didn\'t experience the satisfying 'peel' effect they expected from a peel-off mask. The reviewer plans to continue using the product to see if there are more noticeable results over time.",https://i.ytimg.com/vi/2sTRELvQi84/hqdefault.jpg,O.R.G Skincare Mineral Peel Face,https://www.youtube.com/watch?v=2sTRELvQi84,K-beauty,Exfoliant,How To Use
Corrie V,2.2k,,"The reviewers test the O.R.G. Skincare Mineral Peel Face, a spray-on exfoliant from South Korea that retails for $44. They find that the product works better on moist skin, such as in the shower, and has mixed results depending on the individual\'s skin condition. While one reviewer experiences some irritation with daily use, the other finds it effective for targeting patchy, flaky skin. Overall, they give the product a rating of 2.5 to 3.5 out of 5, appreciating its non-abrasive nature and targeted application but questioning its value for the price.",https://i.ytimg.com/vi/g4wS2jrqj-s/maxresdefault.jpg,O.R.G Skincare Mineral Peel Face,https://www.youtube.com/watch?v=g4wS2jrqj-s,K-beauty,Exfoliant,How To Use
summary_O.R.G Skincare Mineral Peel Face,,,"The two videos review the O.R.G. Skincare Mineral Peel Face Mask, a spray-on exfoliant that claims to remove dead skin and brighten the complexion. Both reviewers express initial skepticism about the product's effectiveness, noting that it doesn't feel like a traditional peel-off mask. However, after using the product, they find that it does provide some exfoliating benefits, particularly when used in the shower or on dry, flaky skin. Despite these positive results, both reviewers question whether the product is worth its $44 price tag and express uncertainty about repurchasing it in the future.",,,,K-beauty,Exfoliant,Summary
Cassandra Bankson,300000,,"The ordinary glycolic acid 7% toning solution contains glycolic acid, an alpha-hydroxy acid that exfoliates the skin. It has a low pH which allows it to penetrate the skin deeply, but can be irritating for sensitive skin. The toner helps improve skin texture, tone, and radiance, but is not essential and should be used carefully with sunscreen.",https://i.ytimg.com/vi/iH9XqEwMU10/maxresdefault.jpg,The Ordinary Glycolic Acid 7% Toning Solution,https://www.youtube.com/watch?v=iH9XqEwMU10,Review,Exfoliant,Glycolic Acid
DaniSmith405,102k,,"The ordinary glycolic acid 7% toning solution is a leave-on toner that exfoliates with glycolic acid while soothing and hydrating the skin. It is best used 2-3 times per week in the evening on dry skin before moisturizing. Sunscreen is essential when using this product. Avoid mixing it with retinol, other acids, niacinamide, vitamin C or peptides.",https://i.ytimg.com/vi/uxRsAk9mGYE/maxresdefault.jpg,The Ordinary Glycolic Acid 7% Toning Solution,https://www.youtube.com/watch?v=uxRsAk9mGYE,Review,Exfoliant,Glycolic Acid
Dr. Abs,130k,,"After using the ordinary glycolic acid 7% toning solution for 7 days, the reviewer noticed improved skin texture, pore size, and glow. The toner helped clear up a pimple quickly. While not a holy grail product, it is effective for the affordable price point.",https://i.ytimg.com/vi/2nVDXt7hw28/maxresdefault.jpg,The Ordinary Glycolic Acid 7% Toning Solution,https://www.youtube.com/watch?v=2nVDXt7hw28,Review ,Exfoliant ,Results 
summary_The Ordinary Glycolic Acid 7% Toning Solution,,,"Here is a summary that ties together the key themes from the video transcripts about using glycolic acid toning solution:\n\nGlycolic acid is a popular alpha-hydroxy acid (AHA) used in toning solutions to provide chemical exfoliation. As a small molecule, it can penetrate deeply to break apart dead skin cells and promote cell turnover for smoother, more even-toned skin. However, glycolic acid can be irritating, especially for sensitive skin, so it's important to start slowly, do patch tests, and not overuse it. The Ordinary's Glycolic Acid 7% Toning Solution is an affordable, effective option that can be used 1-3 times per week after cleansing. Beyond the face, glycolic acid toners can also help with underarm odor, ingrown hairs, and scalp buildup. Always wear sunscreen when using AHAs.",,,,Skincare,Summary ,Glycolic Acid
Epres,372,,,https://i.ytimg.com/vi/_wCllWBhQGA/maxresdefault.jpg,Epres Health Hair Shampoo,https://www.youtube.com/watch?v=_wCllWBhQGA,Haircare,Bond Repair,Brand Video
Epres,12k,,,https://i.ytimg.com/vi/aFdGx_o6wzc/hqdefault.jpg,Epres Health Hair Shampoo,https://www.youtube.com/watch?v=aFdGx_o6wzc,Haircare,Bond Repair,Brand Video
Ashley Mova,7.8k,,"The video compares two bond repair treatments for hair: Olaplex and K18. The speaker shares her month-long experience using K18, including how to mix and apply the product, and her overall impressions. She found K18 easy to apply, leaving her hair soft and easily detangled, and preferred it over Olaplex in terms of application and results",https://i.ytimg.com/vi/MCvmYJ8AEoA/maxresdefault.jpg,Epres Health Hair Shampoo,https://www.youtube.com/watch?v=MCvmYJ8AEoA,Haircare,Bond Repair,Comparison
Rosie Amelia,2.1k,,"The video compares two hair repair treatments: K18 and Olaplex, created by one of the founders of Olaplex. The speaker prefers the application of K18, as it doesn't require wet hair and comes with clear instructions. After one use, K18 left the speaker's hair noticeably softer, healthier-looking, and more manageable compared to years of using Olaplex. The speaker plans to continue using K18 to see if the results improve over time.",https://i.ytimg.com/vi/03bGFu7Xc9k/maxresdefault.jpg,Epres Health Hair Shampoo,https://www.youtube.com/watch?v=03bGFu7Xc9k,Haircare,Bond Repair,Comparison
summary_Epres Health Hair Shampoo,,,"The two videos discuss and compare hair bond repair treatments, specifically focusing on the new product 'K18' created by one of the founders of Olaplex. Both reviewers found the K18 treatment to be more effective and easier to use than Olaplex, with noticeable results after just one application. The main drawbacks of K18 seem to be the higher price point and the lack of clear instructions on how long to leave the product in the hair. Overall, the reviewers recommend K18 for those looking to repair damaged hair and achieve smoother, healthier-looking results.",,,,Haircare,Review ,Comparison
AMR Hair & Beauty,7.8k,,"The speaker reviews her month-long experience using the E-Pres bond repair treatment on her type 4 hair after getting a big chop. She demonstrates how to mix the concentrated formula with water in the provided spray bottle. The speaker likes the easy application and how it makes her hair soft and curls pop, but doesn't love the chemical smell. Overall, she is happy with the results after using it 1-2 times per week for a month.",https://i.ytimg.com/vi/j1yJ83uqox0/maxresdefault.jpg,Epres AMR Hair & Beauty,https://www.youtube.com/watch?v=j1yJ83uqox0,,,
AMR Hair & Beauty,9k,,"The speaker compares the K18 and E-Pres bond repair treatments after one use on her frizzy hair. She prefers the E-Pres application since it doesn't require wet hair. After one use, the E-Pres made her hair noticeably softer, healthier-looking, and more manageable compared to the K18. The E-Pres starter kit is more expensive per use, but the speaker felt an immediate positive difference in her hair.",https://i.ytimg.com/vi/AfWGC2bUuCY/maxresdefault.jpg,Epres AMR Hair & Beauty,https://www.youtube.com/watch?v=AfWGC2bUuCY,,,
AMR Hair & Beauty,2.1k,,"A hairstylist demonstrates using the E-Pres bond repair treatment on a client with bleached, damaged hair before refreshing her blonde color. The acid-free formula doesn't affect processing time. After one use, the client's hair felt much smoother and looked shinier, even without additional treatments. The stylist is very impressed with the results.",https://i.ytimg.com/vi/03bGFu7Xc9k/maxresdefault.jpg,Epres AMR Hair & Beauty,https://www.youtube.com/watch?v=03bGFu7Xc9k,,,
AMR Hair & Beauty,418,,"The speaker tries the E-Pres bond repair starter kit on her curly hair. She notes the very strong chemical smell that gave her a headache. After leaving it on for 30 minutes and styling her hair as usual, her curls look very defined, healthy and moisturized. She plans to keep using it and buying the refills despite the potent scent, as she loves the results after one use.",https://i.ytimg.com/vi/JcOnL3bxAJw/maxresdefault.jpg,Epres AMR Hair & Beauty,https://www.youtube.com/watch?v=JcOnL3bxAJw,,,
summary_Epres Bond Repair Treatment,,,"Based on the video summaries, here are the key themes and takeaways about the E-Pres bond repair treatment:\n\nE-Pres is a new bond repair treatment created by one of the founders of Olaplex. It aims to repair chemical, thermal and mechanical damage to the hair in one easy spray-on step. The acid-free formula rebonds the hair structure in just 10 minutes and continues repairing for hours afterwards. \n\nAcross the reviews, people found the E-Pres treatment made their hair noticeably softer, smoother, shinier and more defined after just one use. Damaged, frizzy hair looked and felt much healthier. The easy spray-on application was praised as more convenient than other bond builders like Olaplex.\n\nHowever, some downsides noted were the very strong chemical smell that can cause headaches in those sensitive to scents, the high price point of $24-48 per treatment, and the lack of clear usage instructions on the packaging. Overall though, the impressive results made E-Pres a winner compared to Olaplex for most reviewers after a single treatment. With continued use, it shows exciting potential to repair damage and dramatically improve hair health.",,,,,,
